timestamp,dataset_name,source_type,rows,status,notes
2026-03-26T04:08:38.089433+00:00,customers_from_db,rdbms,0,FAILED,"(psycopg2.OperationalError) connection to server at ""localhost"" (::1), port 5432 failed: FATAL:  password authentication failed for user ""minilab""

(Background on this error at: https://sqlalche.me/e/20/e3q8)"
2026-03-26T04:08:38.188150+00:00,customers_from_csv,csv,3,SUCCESS,OK
2026-03-26T04:08:38.779536+00:00,products_from_xlsx,xlsx,3,SUCCESS,OK
2026-03-26T04:18:04.880011+00:00,customers_from_db,rdbms,4,SUCCESS,OK
2026-03-26T04:18:05.188670+00:00,customers_from_csv,csv,3,SUCCESS,OK
2026-03-26T04:18:05.480875+00:00,products_from_xlsx,xlsx,3,SUCCESS,OK
2026-03-26T04:18:36.463925+00:00,customers_from_db,rdbms,4,SUCCESS,OK
2026-03-26T04:18:36.568273+00:00,customers_from_csv,csv,3,SUCCESS,OK
2026-03-26T04:18:36.848111+00:00,products_from_xlsx,xlsx,3,SUCCESS,OK
2026-03-27T15:12:13.959476+00:00,customers_from_db,rdbms,30,SUCCESS,OK
2026-03-27T15:12:14.050985+00:00,orders_from_db,rdbms,63,SUCCESS,OK
2026-03-27T15:12:14.115366+00:00,customers_from_csv,csv,25,SUCCESS,OK
2026-03-27T15:12:14.695242+00:00,products_from_xlsx,xlsx,15,SUCCESS,OK
2026-03-27T15:49:03.976010+00:00,customers_from_db,rdbms,30,SUCCESS,OK
2026-03-27T15:49:04.071731+00:00,orders_from_db,rdbms,63,SUCCESS,OK
2026-03-27T15:49:04.135113+00:00,customers_from_csv,csv,25,SUCCESS,OK
2026-03-27T15:49:04.507720+00:00,products_from_xlsx,xlsx,15,SUCCESS,OK
